Benchmark name,Size,OPT,average result,average %,min result,nb opt,average execution time (s)
br17,17,39,39.0,0.000,39,1,19.4347
ftv33,34,1286,1384.0,7.621,1384,0,24.6904
ftv35,36,1473,1573.0,6.789,1573,0,24.8743
ftv38,39,1530,1608.0,5.098,1608,0,22.9797
p43,43,5620,5644.0,0.427,5644,0,22.2795
ftv44,45,1613,1765.0,9.423,1765,0,23.3514
ftv47,48,1776,2043.0,15.034,2043,0,22.9873
ry48p,48,14422,15213.0,5.485,15213,0,23.3263
ft53,53,6905,7968.0,15.395,7968,0,23.3530
ftv55,56,1608,1780.0,10.697,1780,0,24.3239
ftv64,65,1839,2204.0,19.848,2204,0,25.6980
ft70,70,38673,40648.0,5.107,40648,0,26.4762
ftv70,71,1950,2175.0,11.538,2175,0,26.7001
kro124p,100,36230,40574.0,11.990,40574,0,29.7403
ftv170,171,2755,3384.0,22.831,3384,0,40.5921
