Benchmark name,Size,OPT,average result,average %,min result,nb opt,average execution time (s)
br17,17,39,43.1,10.513,39,2,0.0122
ftv33,34,1286,1616.6,25.708,1573,0,0.0083
ftv35,36,1473,1811.7,22.994,1773,0,0.0086
ftv38,39,1530,1869.7,22.203,1704,0,0.0090
p43,43,5620,5774.6,2.751,5744,0,0.0098
ftv44,45,1613,1915.0,18.723,1906,0,0.0102
ftv47,48,1776,2225.7,25.321,2186,0,0.0105
ry48p,48,14422,18979.5,31.601,18868,0,0.0115
ft53,53,6905,10627.1,53.904,9764,0,0.0119
ftv55,56,1608,1961.5,21.984,1932,0,0.0120
ftv64,65,1839,2303.5,25.258,2220,0,0.0149
ft70,70,38673,43675.1,12.934,42858,0,0.0190
ftv70,71,1950,2498.5,28.128,2485,0,0.0183
kro124p,100,36230,43505.6,20.082,43183,0,0.0287
ftv170,171,2755,3662.0,32.922,3662,0,0.0931
