Benchmark name,Size,OPT,average result,average %,min result,nb opt,average execution time (s)
br17,17,39,42.7,9.487,39,4,0.6683
ftv33,34,1286,1626.6,26.485,1623,0,0.8331
ftv35,36,1473,1825.0,23.897,1825,0,0.9751
ftv38,39,1530,1904.5,24.477,1881,0,1.6027
p43,43,5620,5675.9,0.995,5652,0,1.4612
ftv44,45,1613,1916.0,18.785,1916,0,0.7960
ftv47,48,1776,2238.0,26.014,2238,0,0.7416
ry48p,48,14422,18241.8,26.486,16237,0,0.7093
ft53,53,6905,10930.9,58.304,9687,0,0.9571
ftv55,56,1608,1971.0,22.575,1971,0,0.8785
ftv64,65,1839,2327.0,26.536,2327,0,0.7924
ft70,70,38673,44323.8,14.612,43742,0,0.7880
ftv70,71,1950,2499.9,28.200,2499,0,0.7879
kro124p,100,36230,42481.9,17.256,41361,0,0.7916
ftv170,171,2755,3662.0,32.922,3662,0,0.9387
