Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s)
25,0.9,10000,10,47.198,10164,0,0.1787
25,0.8,10000,10,47.154,10161,0,0.3075
25,0.85,10000,10,33.164,9195,0,0.5148
25,0.7,10000,10,34.062,9257,0,0.3356
25,0.75,10000,10,22.636,8468,0,0.3978
25,0.95,10000,10,49.558,10327,0,0.4506
50,0.9,10000,10,43.707,9923,0,0.5089
50,0.8,10000,10,42.245,9822,0,0.5581
50,0.85,10000,10,31.050,9049,0,0.5952
50,0.7,10000,10,35.945,9387,0,0.6624
50,0.75,10000,10,44.026,9945,0,0.7139
50,0.95,10000,10,45.706,10061,0,0.7776
100,0.9,10000,10,47.762,10203,0,0.8501
100,0.8,10000,10,43.925,9938,0,0.9017
100,0.85,10000,10,43.693,9922,0,0.9246
100,0.7,10000,10,47.328,10173,0,1.0121
100,0.75,10000,10,43.114,9882,0,1.0423
100,0.95,10000,10,44.345,9967,0,1.1509
150,0.9,10000,10,30.196,8990,0,1.1540
150,0.8,10000,10,43.910,9937,0,1.1999
150,0.85,10000,10,39.508,9633,0,1.2622
150,0.7,10000,10,40.521,9703,0,1.3011
150,0.75,10000,10,36.944,9456,0,1.3747
150,0.95,10000,10,53.512,10600,0,1.4204
200,0.9,10000,10,50.123,10366,0,1.4590
200,0.8,10000,10,43.418,9903,0,1.5324
200,0.85,10000,10,48.125,10228,0,1.5759
200,0.7,10000,10,37.118,9468,0,1.6484
200,0.75,10000,10,53.425,10594,0,1.7472
200,0.95,10000,10,51.166,10438,0,1.7556
250,0.9,10000,10,53.946,10630,0,1.8038
250,0.8,10000,10,47.589,10191,0,1.8509
250,0.85,10000,10,43.027,9876,0,1.9523
250,0.7,10000,10,31.557,9084,0,2.0461
250,0.75,10000,10,47.748,10202,0,2.0986
250,0.95,10000,10,55.250,10720,0,2.0877
300,0.9,10000,10,37.799,9515,0,2.1590
300,0.8,10000,10,31.615,9088,0,2.3377
300,0.85,10000,10,43.114,9882,0,2.3672
300,0.7,10000,10,46.227,10097,0,2.9218
300,0.75,10000,10,51.962,10493,0,2.7480
300,0.95,10000,10,60.319,11070,0,2.6449
350,0.9,10000,10,54.091,10640,0,2.6098
350,0.8,10000,10,33.917,9247,0,2.6781
350,0.85,10000,10,49.428,10318,0,2.8239
350,0.7,10000,10,46.995,10150,0,2.7391
350,0.75,10000,10,30.210,8991,0,2.7651
350,0.95,10000,10,41.752,9788,0,2.8430
400,0.9,10000,10,31.615,9088,0,2.9576
400,0.8,10000,10,45.257,10030,0,3.0912
400,0.85,10000,10,39.406,9626,0,3.2431
400,0.7,10000,10,39.015,9599,0,3.0765
400,0.75,10000,10,53.338,10588,0,3.1112
400,0.95,10000,10,43.230,9890,0,3.1662
450,0.9,10000,10,39.363,9623,0,3.2074
450,0.8,10000,10,42.925,9869,0,3.2481
450,0.85,10000,10,46.416,10110,0,3.3425
450,0.7,10000,10,39.710,9647,0,3.3017
450,0.75,10000,10,49.109,10296,0,3.5573
450,0.95,10000,10,59.812,11035,0,3.8758
500,0.9,10000,10,41.796,9791,0,3.8567
500,0.8,10000,10,57.306,10862,0,3.8820
500,0.85,10000,10,48.356,10244,0,3.7675
500,0.7,10000,10,56.495,10806,0,3.6991
500,0.75,10000,10,59.508,11014,0,3.8164
500,0.95,10000,10,63.910,11318,0,3.8542
550,0.9,10000,10,44.852,10002,0,4.0728
550,0.8,10000,10,49.703,10337,0,4.1718
