Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s),Average init
2190.1647025288225,0.7,200000,5,67.038,11534,0,3.3425,270.4127
2190.1647025288225,0.74,200000,5,53.280,10584,0,3.2090,276.2781
2190.1647025288225,0.76,200000,5,50.456,10389,0,3.4555,258.1028
2190.1647025288225,0.78,200000,5,44.721,9993,0,4.1171,307.4439
2190.1647025288225,0.8,200000,5,61.810,11173,0,3.2776,270.5286
2190.1647025288225,0.82,200000,5,47.140,10160,0,1.9504,292.8313
2190.1647025288225,0.84,200000,5,43.852,9933,0,2.1016,273.7002
2190.1647025288225,0.86,200000,5,80.377,12455,0,1.9753,286.9080
2190.1647025288225,0.88,200000,5,44.243,9960,0,1.8966,273.1499
2190.1647025288225,0.9,200000,5,53.686,10612,0,2.2783,222.9109
2190.1647025288225,0.92,200000,5,91.253,13206,0,1.7880,281.3179
2190.1647025288225,0.94,200000,5,45.445,10043,0,1.8394,286.5315
2190.1647025288225,0.96,200000,5,63.389,11282,0,1.7749,298.5373
2190.1647025288225,0.98,200000,5,66.778,11516,0,1.5995,278.2911
2594.366190450471,0.7,200000,5,74.207,12029,0,1.9277,318.1608
2594.366190450471,0.74,200000,5,64.692,11372,0,1.9346,272.5127
2594.366190450471,0.76,200000,5,38.378,9555,0,1.8314,289.4714
2594.366190450471,0.78,200000,5,66.054,11466,0,1.9364,275.3367
2594.366190450471,0.8,200000,5,43.563,9913,0,1.8697,275.7857
2594.366190450471,0.82,200000,5,58.161,10921,0,1.8507,267.5597
2594.366190450471,0.84,200000,5,46.531,10118,0,1.9085,267.5163
2594.366190450471,0.86,200000,5,55.858,10762,0,2.3050,286.3287
2594.366190450471,0.88,200000,5,55.279,10722,0,1.8981,284.5040
2594.366190450471,0.9,200000,5,64.070,11329,0,2.0291,283.9102
2594.366190450471,0.92,200000,5,45.619,10055,0,2.0514,304.3736
2594.366190450471,0.94,200000,5,74.019,12016,0,1.8478,284.5474
2594.366190450471,0.96,200000,5,61.955,11183,0,2.2147,276.7125
2594.366190450471,0.98,200000,5,54.294,10654,0,1.7039,285.1412
2846.4722748635195,0.7,200000,5,43.215,9889,0,2.1032,252.6575
2846.4722748635195,0.74,200000,5,46.459,10113,0,2.1226,272.4113
2846.4722748635195,0.76,200000,5,58.161,10921,0,1.9401,286.3867
2846.4722748635195,0.78,200000,5,62.578,11226,0,2.6448,267.5887
2846.4722748635195,0.8,200000,5,55.742,10754,0,1.8675,291.1224
2846.4722748635195,0.82,200000,5,55.771,10756,0,1.8836,286.4301
