Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s)
2206.2323179705622,0.6,50000,5,54.352,10658,0,0.7120
2206.2323179705622,0.7,50000,5,42.129,9814,0,0.7301
2206.2323179705622,0.75,50000,5,47.270,10169,0,0.7093
2206.2323179705622,0.8,50000,5,38.624,9572,0,0.6875
2206.2323179705622,0.85,50000,5,66.445,11493,0,0.6676
2206.2323179705622,0.9,50000,5,57.437,10871,0,0.6470
2206.2323179705622,0.91,50000,5,47.574,10190,0,0.6387
2206.2323179705622,0.92,50000,5,57.654,10886,0,0.6583
2206.2323179705622,0.93,50000,5,52.498,10530,0,0.6147
2206.2323179705622,0.94,50000,5,53.135,10574,0,0.6405
2206.2323179705622,0.95,50000,5,35.728,9372,0,0.6125
2206.2323179705622,0.96,50000,5,64.214,11339,0,0.6262
2206.2323179705622,0.97,50000,5,58.161,10921,0,0.6120
2206.2323179705622,0.98,50000,5,55.177,10715,0,0.6387
2206.2323179705622,0.99,50000,5,67.516,11567,0,0.6318
3159.739755068384,0.6,50000,5,33.121,9192,0,0.8300
3159.739755068384,0.7,50000,5,74.193,12028,0,0.7613
3159.739755068384,0.75,50000,5,56.220,10787,0,0.7030
3159.739755068384,0.8,50000,5,61.173,11129,0,0.6778
3159.739755068384,0.85,50000,5,64.185,11337,0,0.6833
3159.739755068384,0.9,50000,5,48.052,10223,0,0.6583
3159.739755068384,0.91,50000,5,67.183,11544,0,0.6467
3159.739755068384,0.92,50000,5,66.459,11494,0,0.6357
3159.739755068384,0.93,50000,5,60.174,11060,0,0.6109
3159.739755068384,0.94,50000,5,72.643,11921,0,0.6225
3159.739755068384,0.95,50000,5,38.914,9592,0,0.6251
3159.739755068384,0.96,50000,5,39.044,9601,0,0.6099
3159.739755068384,0.97,50000,5,35.887,9383,0,0.6276
3159.739755068384,0.98,50000,5,53.483,10598,0,0.6239
3159.739755068384,0.99,50000,5,41.057,9740,0,0.6114
3917.5190528735475,0.6,50000,5,75.583,12124,0,0.7046
3917.5190528735475,0.7,50000,5,55.728,10753,0,0.6907
3917.5190528735475,0.75,50000,5,45.909,10075,0,0.6790
3917.5190528735475,0.8,50000,5,60.333,11071,0,0.7155
3917.5190528735475,0.85,50000,5,71.557,11846,0,0.6747
3917.5190528735475,0.9,50000,5,57.480,10874,0,0.6578
3917.5190528735475,0.91,50000,5,57.813,10897,0,0.6418
3917.5190528735475,0.92,50000,5,67.227,11547,0,0.6297
3917.5190528735475,0.93,50000,5,45.807,10068,0,0.6259
3917.5190528735475,0.94,50000,5,40.869,9727,0,0.6319
3917.5190528735475,0.95,50000,5,57.712,10890,0,0.6437
3917.5190528735475,0.96,50000,5,51.644,10471,0,0.6093
3917.5190528735475,0.97,50000,5,58.653,10955,0,0.6239
3917.5190528735475,0.98,50000,5,66.271,11481,0,0.6114
3917.5190528735475,0.99,50000,5,60.739,11099,0,0.6593
5050.560472675568,0.6,50000,5,46.720,10131,0,0.7052
5050.560472675568,0.7,50000,5,69.240,11686,0,0.7208
5050.560472675568,0.75,50000,5,37.712,9509,0,0.7062
5050.560472675568,0.8,50000,5,71.658,11853,0,0.6908
5050.560472675568,0.85,50000,5,57.031,10843,0,0.6717
5050.560472675568,0.9,50000,5,62.390,11213,0,0.6450
5050.560472675568,0.91,50000,5,59.696,11027,0,0.6511
5050.560472675568,0.92,50000,5,62.954,11252,0,0.6248
5050.560472675568,0.93,50000,5,61.738,11168,0,0.6258
5050.560472675568,0.94,50000,5,67.690,11579,0,0.6113
5050.560472675568,0.95,50000,5,58.117,10918,0,0.6077
5050.560472675568,0.96,50000,5,51.658,10472,0,0.6527
5050.560472675568,0.97,50000,5,55.945,10768,0,0.6415
5050.560472675568,0.98,50000,5,70.340,11762,0,0.6102
5050.560472675568,0.99,50000,5,49.240,10305,0,0.6259
6934.576811961033,0.6,50000,5,67.603,11573,0,0.7157
6934.576811961033,0.7,50000,5,56.235,10788,0,0.7071
6934.576811961033,0.75,50000,5,54.613,10676,0,0.6886
6934.576811961033,0.8,50000,5,61.926,11181,0,0.6888
6934.576811961033,0.85,50000,5,59.551,11017,0,0.6839
6934.576811961033,0.9,50000,5,48.385,10246,0,0.6477
6934.576811961033,0.91,50000,5,59.884,11040,0,0.6340
6934.576811961033,0.92,50000,5,44.518,9979,0,0.6604
6934.576811961033,0.93,50000,5,77.726,12272,0,0.6152
6934.576811961033,0.94,50000,5,37.712,9509,0,0.6007
6934.576811961033,0.95,50000,5,44.287,9963,0,0.6276
6934.576811961033,0.96,50000,5,51.832,10484,0,0.6105
6934.576811961033,0.97,50000,5,62.896,11248,0,0.6185
6934.576811961033,0.98,50000,5,60.840,11106,0,0.6037
6934.576811961033,0.99,50000,5,45.112,10020,0,0.6206
10696.606721820703,0.6,50000,5,54.584,10674,0,0.6998
10696.606721820703,0.7,50000,5,33.874,9244,0,0.7016
10696.606721820703,0.75,50000,5,36.944,9456,0,0.7064
10696.606721820703,0.8,50000,5,72.947,11942,0,0.9198
10696.606721820703,0.85,50000,5,49.616,10331,0,0.7354
10696.606721820703,0.9,50000,5,55.670,10749,0,0.7021
10696.606721820703,0.91,50000,5,64.707,11373,0,0.6983
10696.606721820703,0.92,50000,5,51.687,10474,0,0.6692
10696.606721820703,0.93,50000,5,71.571,11847,0,0.6360
10696.606721820703,0.94,50000,5,53.454,10596,0,0.6088
10696.606721820703,0.95,50000,5,62.129,11195,0,0.6184
10696.606721820703,0.96,50000,5,60.594,11089,0,0.6035
10696.606721820703,0.97,50000,5,63.707,11304,0,0.6139
10696.606721820703,0.98,50000,5,52.556,10534,0,0.6268
10696.606721820703,0.99,50000,5,43.794,9929,0,0.6317
11949.866190325378,0.6,50000,5,61.072,11122,0,0.6979
11949.866190325378,0.7,50000,5,41.999,9805,0,0.6936
11949.866190325378,0.75,50000,5,65.851,11452,0,0.6802
11949.866190325378,0.8,50000,5,32.006,9115,0,0.6890
11949.866190325378,0.85,50000,5,58.450,10941,0,0.6944
11949.866190325378,0.9,50000,5,45.315,10034,0,0.6807
11949.866190325378,0.91,50000,5,42.158,9816,0,0.6417
11949.866190325378,0.92,50000,5,59.768,11032,0,0.6244
11949.866190325378,0.93,50000,5,54.656,10679,0,0.6225
11949.866190325378,0.94,50000,5,49.385,10315,0,0.6110
11949.866190325378,0.95,50000,5,38.841,9587,0,0.6209
11949.866190325378,0.96,50000,5,41.245,9753,0,0.6261
11949.866190325378,0.97,50000,5,46.039,10084,0,0.6217
11949.866190325378,0.98,50000,5,53.874,10625,0,0.5988
11949.866190325378,0.99,50000,5,51.354,10451,0,0.6104
13516.169984484191,0.6,50000,5,44.663,9989,0,0.7090
13516.169984484191,0.7,50000,5,48.385,10246,0,0.6875
13516.169984484191,0.75,50000,5,36.177,9403,0,0.6799
13516.169984484191,0.8,50000,5,62.129,11195,0,0.7066
13516.169984484191,0.85,50000,5,44.113,9951,0,0.6721
13516.169984484191,0.9,50000,5,41.332,9759,0,0.6407
13516.169984484191,0.91,50000,5,41.825,9793,0,0.6572
13516.169984484191,0.92,50000,5,64.866,11384,0,0.6408
13516.169984484191,0.93,50000,5,60.101,11055,0,0.6135
13516.169984484191,0.94,50000,5,69.935,11734,0,0.6287
13516.169984484191,0.95,50000,5,60.362,11073,0,0.6468
13516.169984484191,0.96,50000,5,43.273,9893,0,0.6065
13516.169984484191,0.97,50000,5,69.269,11688,0,0.6104
13516.169984484191,0.98,50000,5,58.074,10915,0,0.6293
13516.169984484191,0.99,50000,5,59.044,10982,0,0.6120
15529.685000595966,0.6,50000,5,54.164,10645,0,0.6948
15529.685000595966,0.7,50000,5,57.306,10862,0,0.6927
15529.685000595966,0.75,50000,5,65.532,11430,0,0.6857
15529.685000595966,0.8,50000,5,60.159,11059,0,0.6881
15529.685000595966,0.85,50000,5,68.936,11665,0,0.6734
15529.685000595966,0.9,50000,5,40.912,9730,0,0.6558
15529.685000595966,0.91,50000,5,72.629,11920,0,0.6597
15529.685000595966,0.92,50000,5,59.276,10998,0,0.6120
15529.685000595966,0.93,50000,5,62.534,11223,0,0.6125
15529.685000595966,0.94,50000,5,57.031,10843,0,0.6299
15529.685000595966,0.95,50000,5,59.855,11038,0,0.6094
15529.685000595966,0.96,50000,5,47.169,10162,0,0.6075
15529.685000595966,0.97,50000,5,44.721,9993,0,0.6467
15529.685000595966,0.98,50000,5,74.555,12053,0,0.6301
15529.685000595966,0.99,50000,5,46.343,10105,0,0.6161
18214.02257243864,0.6,50000,5,52.701,10544,0,0.7356
18214.02257243864,0.7,50000,5,37.944,9525,0,0.6841
18214.02257243864,0.75,50000,5,55.510,10738,0,0.6824
18214.02257243864,0.8,50000,5,56.177,10784,0,0.6884
18214.02257243864,0.85,50000,5,68.907,11663,0,0.6672
18214.02257243864,0.9,50000,5,47.458,10182,0,0.6426
18214.02257243864,0.91,50000,5,62.563,11225,0,0.6426
18214.02257243864,0.92,50000,5,56.293,10792,0,0.6314
18214.02257243864,0.93,50000,5,42.737,9856,0,0.6267
18214.02257243864,0.94,50000,5,69.544,11707,0,0.6403
18214.02257243864,0.95,50000,5,58.001,10910,0,0.5962
18214.02257243864,0.96,50000,5,61.926,11181,0,0.6349
18214.02257243864,0.97,50000,5,35.930,9386,0,0.6125
18214.02257243864,0.98,50000,5,54.888,10695,0,0.6135
18214.02257243864,0.99,50000,5,63.172,11267,0,0.6215
21971.68291599408,0.6,50000,5,42.708,9854,0,0.6902
21971.68291599408,0.7,50000,5,61.912,11180,0,0.6989
21971.68291599408,0.75,50000,5,58.740,10961,0,0.6944
21971.68291599408,0.8,50000,5,64.518,11360,0,0.6708
21971.68291599408,0.85,50000,5,55.351,10727,0,0.6736
21971.68291599408,0.9,50000,5,49.920,10352,0,0.6431
21971.68291599408,0.91,50000,5,51.542,10464,0,0.6467
21971.68291599408,0.92,50000,5,77.726,12272,0,0.6266
21971.68291599408,0.93,50000,5,49.645,10333,0,0.6449
21971.68291599408,0.94,50000,5,61.101,11124,0,0.6223
21971.68291599408,0.95,50000,5,36.655,9436,0,0.6048
21971.68291599408,0.96,50000,5,58.392,10937,0,0.6105
