Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s),Average init
2206.2323179705622,0.6,50000,5,46.923,10145,0,0.7254,77.7263
2206.2323179705622,0.7,50000,5,37.364,9485,0,0.7607,77.7263
2206.2323179705622,0.75,50000,5,53.888,10626,0,0.7166,77.7263
2206.2323179705622,0.8,50000,5,35.395,9349,0,0.6908,77.7263
2206.2323179705622,0.85,50000,5,58.581,10950,0,0.6846,77.7263
2206.2323179705622,0.9,50000,5,44.707,9992,0,0.6796,77.7263
2206.2323179705622,0.91,50000,5,66.503,11497,0,0.6543,77.7263
2206.2323179705622,0.92,50000,5,53.628,10608,0,0.6417,77.7263
2206.2323179705622,0.93,50000,5,74.801,12070,0,0.6335,77.7263
2206.2323179705622,0.94,50000,5,46.995,10150,0,0.6738,77.7263
2206.2323179705622,0.95,50000,5,61.361,11142,0,0.6311,77.7263
2206.2323179705622,0.96,50000,5,65.923,11457,0,0.6124,77.7263
2206.2323179705622,0.97,50000,5,67.067,11536,0,0.6455,77.7263
2206.2323179705622,0.98,50000,5,55.206,10717,0,0.6598,77.7263
2206.2323179705622,0.99,50000,5,49.891,10350,0,0.6065,77.7263
3159.739755068384,0.6,50000,5,40.145,9677,0,0.7383,77.7263
3159.739755068384,0.7,50000,5,54.019,10635,0,0.7194,77.7263
3159.739755068384,0.75,50000,5,53.164,10576,0,0.7072,77.7263
3159.739755068384,0.8,50000,5,50.543,10395,0,0.6878,77.7263
3159.739755068384,0.85,50000,5,61.550,11155,0,0.6893,77.7263
3159.739755068384,0.9,50000,5,38.378,9555,0,0.6490,77.7263
3159.739755068384,0.91,50000,5,52.455,10527,0,0.6374,77.7263
3159.739755068384,0.92,50000,5,68.139,11610,0,0.6432,77.7263
3159.739755068384,0.93,50000,5,46.705,10130,0,0.6134,77.7263
3159.739755068384,0.94,50000,5,70.051,11742,0,0.6240,77.7263
3159.739755068384,0.95,50000,5,46.633,10125,0,0.6179,77.7263
3159.739755068384,0.96,50000,5,50.297,10378,0,0.6226,77.7263
3159.739755068384,0.97,50000,5,66.633,11506,0,0.6253,77.7263
3159.739755068384,0.98,50000,5,49.051,10292,0,0.6248,77.7263
3159.739755068384,0.99,50000,5,47.994,10219,0,0.6245,77.7263
3917.5190528735475,0.6,50000,5,45.315,10034,0,0.7299,77.7263
3917.5190528735475,0.7,50000,5,66.894,11524,0,0.6912,77.7263
3917.5190528735475,0.75,50000,5,53.874,10625,0,0.7106,77.7263
3917.5190528735475,0.8,50000,5,69.689,11717,0,0.7104,77.7263
3917.5190528735475,0.85,50000,5,54.048,10637,0,0.7530,77.7263
3917.5190528735475,0.9,50000,5,62.983,11254,0,0.6557,77.7263
3917.5190528735475,0.91,50000,5,67.009,11532,0,0.6930,77.7263
3917.5190528735475,0.92,50000,5,39.609,9640,0,0.6343,77.7263
3917.5190528735475,0.93,50000,5,64.012,11325,0,0.6942,77.7263
3917.5190528735475,0.94,50000,5,50.905,10420,0,0.6110,77.7263
3917.5190528735475,0.95,50000,5,33.309,9205,0,0.6274,77.7263
3917.5190528735475,0.96,50000,5,57.697,10889,0,0.6252,77.7263
3917.5190528735475,0.97,50000,5,54.294,10654,0,0.6476,77.7263
3917.5190528735475,0.98,50000,5,39.001,9598,0,0.6517,77.7263
3917.5190528735475,0.99,50000,5,65.387,11420,0,0.6743,77.7263
5050.560472675568,0.6,50000,5,57.219,10856,0,0.7067,77.7263
5050.560472675568,0.7,50000,5,63.331,11278,0,0.7348,77.7263
5050.560472675568,0.75,50000,5,41.303,9757,0,0.7237,77.7263
5050.560472675568,0.8,50000,5,77.726,12272,0,0.7080,77.7263
5050.560472675568,0.85,50000,5,57.495,10875,0,0.6849,77.7263
5050.560472675568,0.9,50000,5,69.500,11704,0,0.6527,77.7263
5050.560472675568,0.91,50000,5,63.707,11304,0,0.6655,77.7263
