Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s),Average init
2206.2323179705622,0.6,50000,5,30.949,9042,0,0.7303,30.9486
2206.2323179705622,0.7,50000,5,12.802,7789,0,0.7458,12.8023
2206.2323179705622,0.75,50000,5,17.857,8138,0,0.7031,17.8566
2206.2323179705622,0.8,50000,5,15.713,7990,0,0.7171,15.7133
2206.2323179705622,0.85,50000,5,15.945,8006,0,0.6831,15.9450
2206.2323179705622,0.9,50000,5,16.698,8058,0,0.6667,16.6980
2206.2323179705622,0.91,50000,5,18.581,8188,0,0.6680,18.5807
2206.2323179705622,0.92,50000,5,19.450,8248,0,0.7473,19.4497
2206.2323179705622,0.93,50000,5,22.607,8466,0,0.6338,22.6068
2206.2323179705622,0.94,50000,5,28.443,8869,0,0.6473,28.4432
2206.2323179705622,0.95,50000,5,29.674,8954,0,0.6155,29.6741
2206.2323179705622,0.96,50000,5,23.143,8503,0,0.6018,23.1427
2206.2323179705622,0.97,50000,5,13.584,7843,0,0.6293,13.5844
2206.2323179705622,0.98,50000,5,19.928,8281,0,0.6425,19.9276
2206.2323179705622,0.99,50000,5,19.957,8283,0,0.6455,19.9566
3159.739755068384,0.6,50000,5,23.722,8543,0,0.7122,23.7219
3159.739755068384,0.7,50000,5,10.210,7610,0,0.7084,10.2100
3159.739755068384,0.75,50000,5,21.231,8371,0,0.7335,21.2310
3159.739755068384,0.8,50000,5,16.930,8074,0,0.7173,16.9298
3159.739755068384,0.85,50000,5,19.855,8276,0,0.6998,19.8552
3159.739755068384,0.9,50000,5,17.581,8119,0,0.6810,17.5815
3159.739755068384,0.91,50000,5,15.119,7949,0,0.6368,15.1195
3159.739755068384,0.92,50000,5,23.403,8521,0,0.6677,23.4033
3159.739755068384,0.93,50000,5,24.127,8571,0,0.6415,24.1274
3159.739755068384,0.94,50000,5,16.104,8017,0,0.6219,16.1043
3159.739755068384,0.95,50000,5,19.464,8249,0,0.6104,19.4642
3159.739755068384,0.96,50000,5,17.118,8087,0,0.6026,17.1180
3159.739755068384,0.97,50000,5,13.787,7857,0,0.6473,13.7871
3159.739755068384,0.98,50000,5,19.855,8276,0,0.6432,19.8552
3159.739755068384,0.99,50000,5,15.395,7968,0,0.7218,15.3946
3917.5190528735475,0.6,50000,5,23.664,8539,0,0.7244,23.6640
3917.5190528735475,0.7,50000,5,34.482,9286,0,0.7045,34.4823
3917.5190528735475,0.75,50000,5,21.231,8371,0,0.6878,21.2310
3917.5190528735475,0.8,50000,5,10.065,7600,0,0.7690,10.0652
3917.5190528735475,0.85,50000,5,17.393,8106,0,0.7038,17.3932
3917.5190528735475,0.9,50000,5,19.652,8262,0,0.6580,19.6524
3917.5190528735475,0.91,50000,5,18.436,8178,0,0.6429,18.4359
3917.5190528735475,0.92,50000,5,22.911,8487,0,0.6479,22.9109
3917.5190528735475,0.93,50000,5,11.513,7700,0,0.6682,11.5134
3917.5190528735475,0.94,50000,5,17.133,8088,0,0.6413,17.1325
3917.5190528735475,0.95,50000,5,12.310,7755,0,0.6430,12.3099
3917.5190528735475,0.96,50000,5,20.058,8290,0,0.6337,20.0579
3917.5190528735475,0.97,50000,5,18.798,8203,0,0.6486,18.7980
3917.5190528735475,0.98,50000,5,15.337,7964,0,0.6290,15.3367
3917.5190528735475,0.99,50000,5,27.458,8801,0,0.6354,27.4584
5050.560472675568,0.6,50000,5,21.579,8395,0,0.7039,21.5786
5050.560472675568,0.7,50000,5,13.338,7826,0,0.6829,13.3382
5050.560472675568,0.75,50000,5,14.135,7881,0,0.7108,14.1347
5050.560472675568,0.8,50000,5,22.795,8479,0,0.6888,22.7951
5050.560472675568,0.85,50000,5,18.711,8197,0,0.6858,18.7111
5050.560472675568,0.9,50000,5,18.523,8184,0,0.6722,18.5228
5050.560472675568,0.91,50000,5,21.752,8407,0,0.6376,21.7524
5050.560472675568,0.92,50000,5,16.553,8048,0,0.6678,16.5532
5050.560472675568,0.93,50000,5,16.264,8028,0,0.6692,16.2636
5050.560472675568,0.94,50000,5,23.678,8540,0,0.6165,23.6785
5050.560472675568,0.95,50000,5,22.448,8455,0,0.6239,22.4475
5050.560472675568,0.96,50000,5,12.527,7770,0,0.6224,12.5272
5050.560472675568,0.97,50000,5,18.812,8204,0,0.6218,18.8125
5050.560472675568,0.98,50000,5,15.525,7977,0,0.6560,15.5250
5050.560472675568,0.99,50000,5,20.261,8304,0,0.6225,20.2607
6934.576811961033,0.6,50000,5,16.770,8063,0,0.7500,16.7705
6934.576811961033,0.7,50000,5,25.474,8664,0,0.7441,25.4743
6934.576811961033,0.75,50000,5,19.421,8246,0,0.7243,19.4207
6934.576811961033,0.8,50000,5,20.014,8287,0,0.6907,20.0145
6934.576811961033,0.85,50000,5,28.356,8863,0,0.6752,28.3563
6934.576811961033,0.9,50000,5,23.997,8562,0,0.6747,23.9971
6934.576811961033,0.91,50000,5,24.070,8567,0,0.6370,24.0695
6934.576811961033,0.92,50000,5,16.148,8020,0,0.6589,16.1477
6934.576811961033,0.93,50000,5,23.432,8523,0,0.6505,23.4323
6934.576811961033,0.94,50000,5,24.605,8604,0,0.6018,24.6054
6934.576811961033,0.95,50000,5,14.931,7936,0,0.6356,14.9312
6934.576811961033,0.96,50000,5,13.164,7814,0,0.6235,13.1644
6934.576811961033,0.97,50000,5,19.030,8219,0,0.6244,19.0297
6934.576811961033,0.98,50000,5,12.542,7771,0,0.6056,12.5416
6934.576811961033,0.99,50000,5,20.029,8288,0,0.6459,20.0290
10696.606721820703,0.6,50000,5,11.933,7729,0,0.7086,11.9334
10696.606721820703,0.7,50000,5,26.879,8761,0,0.7097,26.8791
10696.606721820703,0.75,50000,5,15.337,7964,0,0.6974,15.3367
10696.606721820703,0.8,50000,5,16.293,8030,0,0.7049,16.2925
10696.606721820703,0.85,50000,5,19.928,8281,0,0.6757,19.9276
10696.606721820703,0.9,50000,5,16.799,8065,0,0.6438,16.7994
10696.606721820703,0.91,50000,5,11.484,7698,0,0.6311,11.4844
10696.606721820703,0.92,50000,5,29.413,8936,0,0.6339,29.4135
10696.606721820703,0.93,50000,5,13.280,7822,0,0.6242,13.2802
10696.606721820703,0.94,50000,5,20.420,8315,0,0.6393,20.4200
10696.606721820703,0.95,50000,5,16.394,8037,0,0.6139,16.3939
10696.606721820703,0.96,50000,5,15.119,7949,0,0.6228,15.1195
10696.606721820703,0.97,50000,5,22.983,8492,0,0.6220,22.9833
10696.606721820703,0.98,50000,5,14.395,7899,0,0.6406,14.3954
10696.606721820703,0.99,50000,5,28.110,8846,0,0.6044,28.1101
11949.866190325378,0.6,50000,5,24.055,8566,0,0.6988,24.0550
11949.866190325378,0.7,50000,5,12.122,7742,0,0.8006,12.1217
11949.866190325378,0.75,50000,5,20.854,8345,0,0.7151,20.8545
11949.866190325378,0.8,50000,5,23.172,8505,0,0.6853,23.1716
11949.866190325378,0.85,50000,5,22.056,8428,0,0.7387,22.0565
11949.866190325378,0.9,50000,5,18.291,8168,0,0.6779,18.2911
11949.866190325378,0.91,50000,5,18.045,8151,0,0.6268,18.0449
11949.866190325378,0.92,50000,5,21.680,8402,0,0.6427,21.6799
11949.866190325378,0.93,50000,5,22.781,8478,0,0.6583,22.7806
11949.866190325378,0.94,50000,5,19.739,8268,0,0.5964,19.7393
11949.866190325378,0.95,50000,5,14.439,7902,0,0.6296,14.4388
11949.866190325378,0.96,50000,5,18.870,8208,0,0.6299,18.8704
11949.866190325378,0.97,50000,5,5.561,7289,0,0.6153,5.5612
11949.866190325378,0.98,50000,5,14.699,7920,0,0.6705,14.6995
11949.866190325378,0.99,50000,5,17.770,8132,0,0.6389,17.7697
13516.169984484191,0.6,50000,5,18.306,8169,0,0.7363,18.3056
13516.169984484191,0.7,50000,5,22.969,8491,0,0.7156,22.9689
13516.169984484191,0.75,50000,5,17.784,8133,0,0.7106,17.7842
13516.169984484191,0.8,50000,5,20.116,8294,0,0.6914,20.1159
13516.169984484191,0.85,50000,5,22.954,8490,0,0.6824,22.9544
13516.169984484191,0.9,50000,5,6.416,7348,0,0.6573,6.4156
13516.169984484191,0.91,50000,5,26.488,8734,0,0.6954,26.4881
13516.169984484191,0.92,50000,5,17.147,8089,0,0.6472,17.1470
13516.169984484191,0.93,50000,5,15.597,7982,0,0.6571,15.5974
13516.169984484191,0.94,50000,5,25.503,8666,0,0.6047,25.5033
13516.169984484191,0.95,50000,5,17.581,8119,0,0.6005,17.5815
