Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s),Average init
2206.2323179705622,0.6,50000,5,22.752,8476,0,0.8483,22.7516
2206.2323179705622,0.7,50000,5,22.752,8476,0,0.8283,22.7516
2206.2323179705622,0.75,50000,5,22.752,8476,0,0.8650,22.7516
2206.2323179705622,0.8,50000,5,22.752,8476,0,0.9113,22.7516
2206.2323179705622,0.85,50000,5,22.752,8476,0,0.8030,22.7516
2206.2323179705622,0.9,50000,5,22.752,8476,0,0.7430,22.7516
2206.2323179705622,0.91,50000,5,22.752,8476,0,0.7428,22.7516
2206.2323179705622,0.92,50000,5,22.752,8476,0,0.7449,22.7516
2206.2323179705622,0.93,50000,5,22.752,8476,0,0.7271,22.7516
2206.2323179705622,0.94,50000,5,22.752,8476,0,0.7581,22.7516
2206.2323179705622,0.95,50000,5,22.752,8476,0,0.6917,22.7516
2206.2323179705622,0.96,50000,5,22.752,8476,0,0.7061,22.7516
2206.2323179705622,0.97,50000,5,22.752,8476,0,0.6927,22.7516
2206.2323179705622,0.98,50000,5,22.752,8476,0,1.1706,22.7516
2206.2323179705622,0.99,50000,5,22.752,8476,0,1.0402,22.7516
3159.739755068384,0.6,50000,5,22.752,8476,0,0.7974,22.7516
3159.739755068384,0.7,50000,5,22.752,8476,0,0.7918,22.7516
3159.739755068384,0.75,50000,5,22.752,8476,0,0.7819,22.7516
3159.739755068384,0.8,50000,5,22.752,8476,0,0.8061,22.7516
3159.739755068384,0.85,50000,5,22.752,8476,0,0.7649,22.7516
3159.739755068384,0.9,50000,5,22.752,8476,0,0.7403,22.7516
3159.739755068384,0.91,50000,5,22.752,8476,0,0.7573,22.7516
3159.739755068384,0.92,50000,5,22.752,8476,0,0.8199,22.7516
3159.739755068384,0.93,50000,5,22.752,8476,0,0.7698,22.7516
3159.739755068384,0.94,50000,5,22.752,8476,0,0.6993,22.7516
3159.739755068384,0.95,50000,5,22.752,8476,0,0.6931,22.7516
3159.739755068384,0.96,50000,5,22.752,8476,0,0.8715,22.7516
3159.739755068384,0.97,50000,5,22.752,8476,0,0.8053,22.7516
3159.739755068384,0.98,50000,5,22.752,8476,0,0.7352,22.7516
3159.739755068384,0.99,50000,5,22.752,8476,0,0.7261,22.7516
3917.5190528735475,0.6,50000,5,22.752,8476,0,0.8539,22.7516
3917.5190528735475,0.7,50000,5,22.752,8476,0,0.7814,22.7516
3917.5190528735475,0.75,50000,5,22.752,8476,0,0.8782,22.7516
3917.5190528735475,0.8,50000,5,22.752,8476,0,0.7783,22.7516
3917.5190528735475,0.85,50000,5,22.752,8476,0,0.9591,22.7516
3917.5190528735475,0.9,50000,5,22.752,8476,0,1.2739,22.7516
3917.5190528735475,0.91,50000,5,22.636,8468,0,0.7228,22.7516
3917.5190528735475,0.92,50000,5,22.752,8476,0,0.7144,22.7516
3917.5190528735475,0.93,50000,5,22.752,8476,0,0.7195,22.7516
3917.5190528735475,0.94,50000,5,22.752,8476,0,0.7101,22.7516
3917.5190528735475,0.95,50000,5,22.752,8476,0,0.7069,22.7516
3917.5190528735475,0.96,50000,5,22.752,8476,0,0.6932,22.7516
3917.5190528735475,0.97,50000,5,22.752,8476,0,0.7083,22.7516
3917.5190528735475,0.98,50000,5,22.752,8476,0,0.6989,22.7516
3917.5190528735475,0.99,50000,5,22.752,8476,0,0.7013,22.7516
5050.560472675568,0.6,50000,5,22.752,8476,0,0.8883,22.7516
5050.560472675568,0.7,50000,5,22.752,8476,0,0.8050,22.7516
5050.560472675568,0.75,50000,5,22.752,8476,0,0.7848,22.7516
5050.560472675568,0.8,50000,5,22.752,8476,0,0.8314,22.7516
5050.560472675568,0.85,50000,5,22.752,8476,0,0.7708,22.7516
5050.560472675568,0.9,50000,5,22.752,8476,0,0.7532,22.7516
5050.560472675568,0.91,50000,5,22.752,8476,0,0.7179,22.7516
5050.560472675568,0.92,50000,5,22.752,8476,0,0.7497,22.7516
5050.560472675568,0.93,50000,5,22.752,8476,0,0.7318,22.7516
5050.560472675568,0.94,50000,5,22.752,8476,0,0.6925,22.7516
5050.560472675568,0.95,50000,5,22.752,8476,0,0.7151,22.7516
5050.560472675568,0.96,50000,5,22.752,8476,0,0.6940,22.7516
5050.560472675568,0.97,50000,5,22.752,8476,0,0.7456,22.7516
5050.560472675568,0.98,50000,5,22.752,8476,0,0.6841,22.7516
5050.560472675568,0.99,50000,5,22.752,8476,0,0.6862,22.7516
6934.576811961033,0.6,50000,5,22.752,8476,0,0.7924,22.7516
6934.576811961033,0.7,50000,5,22.752,8476,0,0.7797,22.7516
6934.576811961033,0.75,50000,5,22.752,8476,0,0.8049,22.7516
6934.576811961033,0.8,50000,5,22.752,8476,0,0.7844,22.7516
6934.576811961033,0.85,50000,5,22.752,8476,0,0.7775,22.7516
6934.576811961033,0.9,50000,5,22.752,8476,0,0.7255,22.7516
6934.576811961033,0.91,50000,5,22.752,8476,0,0.7333,22.7516
