Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s)
1529.243710861528,0.6,50000,5,51.702,10475,0,0.7415
1529.243710861528,0.7,50000,5,35.930,9386,0,0.7383
1529.243710861528,0.75,50000,5,41.926,9800,0,0.7608
1529.243710861528,0.8,50000,5,62.346,11210,0,0.7056
1529.243710861528,0.85,50000,5,57.306,10862,0,0.7107
1529.243710861528,0.9,50000,5,58.986,10978,0,0.6542
1529.243710861528,0.91,50000,5,39.783,9652,0,0.6842
1529.243710861528,0.92,50000,5,63.867,11315,0,0.6314
1529.243710861528,0.93,50000,5,69.862,11729,0,0.6905
1529.243710861528,0.94,50000,5,44.359,9968,0,0.6469
1529.243710861528,0.95,50000,5,48.501,10254,0,0.6383
1529.243710861528,0.96,50000,5,48.313,10241,0,0.6427
1529.243710861528,0.97,50000,5,34.613,9295,0,0.6274
1529.243710861528,0.98,50000,5,64.591,11365,0,0.6750
1529.243710861528,0.99,50000,5,54.917,10697,0,0.6264
2190.1647025288225,0.6,50000,5,51.340,10450,0,0.7219
2190.1647025288225,0.7,50000,5,44.967,10010,0,0.7211
2190.1647025288225,0.75,50000,5,45.445,10043,0,0.7218
2190.1647025288225,0.8,50000,5,62.085,11192,0,0.7536
2190.1647025288225,0.85,50000,5,55.684,10750,0,0.6913
2190.1647025288225,0.9,50000,5,48.545,10257,0,0.6899
2190.1647025288225,0.91,50000,5,52.556,10534,0,0.6403
2190.1647025288225,0.92,50000,5,62.085,11192,0,0.6431
2190.1647025288225,0.93,50000,5,62.013,11187,0,0.6437
2190.1647025288225,0.94,50000,5,33.686,9231,0,0.6271
2190.1647025288225,0.95,50000,5,56.481,10805,0,0.6102
2190.1647025288225,0.96,50000,5,67.647,11576,0,0.6412
2190.1647025288225,0.97,50000,5,60.203,11062,0,0.6283
2190.1647025288225,0.98,50000,5,44.591,9984,0,0.6293
2190.1647025288225,0.99,50000,5,44.852,10002,0,0.6265
2715.4172862891664,0.6,50000,5,46.068,10086,0,0.7219
2715.4172862891664,0.7,50000,5,68.414,11629,0,0.7035
2715.4172862891664,0.75,50000,5,38.856,9588,0,0.7056
2715.4172862891664,0.8,50000,5,62.071,11191,0,0.6920
2715.4172862891664,0.85,50000,5,52.889,10557,0,0.6804
2715.4172862891664,0.9,50000,5,61.332,11140,0,0.6749
2715.4172862891664,0.91,50000,5,64.765,11377,0,0.6593
2715.4172862891664,0.92,50000,5,70.702,11787,0,0.6418
2715.4172862891664,0.93,50000,5,65.228,11409,0,0.6275
2715.4172862891664,0.94,50000,5,69.327,11692,0,0.6587
2715.4172862891664,0.95,50000,5,55.105,10710,0,0.6340
2715.4172862891664,0.96,50000,5,61.535,11154,0,0.6496
2715.4172862891664,0.97,50000,5,55.974,10770,0,0.6382
2715.4172862891664,0.98,50000,5,38.870,9589,0,0.6504
2715.4172862891664,0.99,50000,5,61.289,11137,0,0.6906
3500.781751882575,0.6,50000,5,42.476,9838,0,0.7053
3500.781751882575,0.7,50000,5,47.270,10169,0,0.7213
3500.781751882575,0.75,50000,5,66.155,11473,0,0.7008
3500.781751882575,0.8,50000,5,68.849,11659,0,0.7108
3500.781751882575,0.85,50000,5,45.967,10079,0,0.6739
3500.781751882575,0.9,50000,5,68.284,11620,0,0.6577
3500.781751882575,0.91,50000,5,52.643,10540,0,0.7207
3500.781751882575,0.92,50000,5,55.612,10745,0,0.6948
3500.781751882575,0.93,50000,5,65.257,11411,0,0.6655
3500.781751882575,0.94,50000,5,48.298,10240,0,0.6171
3500.781751882575,0.95,50000,5,47.140,10160,0,0.6575
3500.781751882575,0.96,50000,5,45.981,10080,0,0.6573
3500.781751882575,0.97,50000,5,61.463,11149,0,0.6613
3500.781751882575,0.98,50000,5,50.731,10408,0,0.6407
3500.781751882575,0.99,50000,5,55.655,10748,0,0.6118
4806.682365587164,0.6,50000,5,33.816,9240,0,0.7397
4806.682365587164,0.7,50000,5,49.747,10340,0,0.6893
4806.682365587164,0.75,50000,5,39.739,9649,0,0.7226
4806.682365587164,0.8,50000,5,58.639,10954,0,0.7366
4806.682365587164,0.85,50000,5,65.489,11427,0,0.6889
4806.682365587164,0.9,50000,5,52.006,10496,0,0.6909
4806.682365587164,0.91,50000,5,39.247,9615,0,0.6418
4806.682365587164,0.92,50000,5,43.273,9893,0,0.6428
4806.682365587164,0.93,50000,5,52.773,10549,0,0.6431
4806.682365587164,0.94,50000,5,55.916,10766,0,0.6038
4806.682365587164,0.95,50000,5,49.008,10289,0,0.6662
4806.682365587164,0.96,50000,5,66.329,11485,0,0.6313
4806.682365587164,0.97,50000,5,56.741,10823,0,0.6553
4806.682365587164,0.98,50000,5,57.842,10899,0,0.6831
4806.682365587164,0.99,50000,5,46.691,10129,0,0.6184
7414.3227907885785,0.6,50000,5,73.063,11950,0,0.7934
7414.3227907885785,0.7,50000,5,43.259,9892,0,0.7293
7414.3227907885785,0.75,50000,5,49.558,10327,0,0.6864
7414.3227907885785,0.8,50000,5,36.046,9394,0,0.7042
7414.3227907885785,0.85,50000,5,43.650,9919,0,0.7001
7414.3227907885785,0.9,50000,5,41.608,9778,0,0.6628
7414.3227907885785,0.91,50000,5,29.182,8920,0,0.6740
7414.3227907885785,0.92,50000,5,40.246,9684,0,0.6443
7414.3227907885785,0.93,50000,5,62.563,11225,0,0.6340
7414.3227907885785,0.94,50000,5,62.201,11200,0,0.6480
7414.3227907885785,0.95,50000,5,52.194,10509,0,0.6668
7414.3227907885785,0.96,50000,5,37.060,9464,0,0.6237
7414.3227907885785,0.97,50000,5,57.813,10897,0,0.6968
7414.3227907885785,0.98,50000,5,63.374,11281,0,0.6704
7414.3227907885785,0.99,50000,5,48.284,10239,0,0.6176
8283.016057892652,0.6,50000,5,55.916,10766,0,0.7599
8283.016057892652,0.7,50000,5,42.462,9837,0,0.7290
8283.016057892652,0.75,50000,5,61.289,11137,0,0.7431
8283.016057892652,0.8,50000,5,66.966,11529,0,0.7137
8283.016057892652,0.85,50000,5,54.569,10673,0,0.7050
8283.016057892652,0.9,50000,5,72.571,11916,0,0.6595
8283.016057892652,0.91,50000,5,77.205,12236,0,0.6591
8283.016057892652,0.92,50000,5,59.870,11039,0,0.6628
8283.016057892652,0.93,50000,5,65.301,11414,0,0.6303
8283.016057892652,0.94,50000,5,64.533,11361,0,0.6575
8283.016057892652,0.95,50000,5,44.924,10007,0,0.6488
8283.016057892652,0.96,50000,5,57.306,10862,0,0.6405
8283.016057892652,0.97,50000,5,45.822,10069,0,0.6429
8283.016057892652,0.98,50000,5,46.865,10141,0,0.6510
8283.016057892652,0.99,50000,5,59.175,10991,0,0.6494
9368.695116714176,0.6,50000,5,55.221,10718,0,0.7132
9368.695116714176,0.7,50000,5,59.030,10981,0,0.7171
9368.695116714176,0.75,50000,5,65.431,11423,0,0.6992
9368.695116714176,0.8,50000,5,68.023,11602,0,0.6846
9368.695116714176,0.85,50000,5,40.869,9727,0,0.7361
9368.695116714176,0.9,50000,5,52.194,10509,0,0.6671
9368.695116714176,0.91,50000,5,62.114,11194,0,0.6822
9368.695116714176,0.92,50000,5,30.210,8991,0,0.6366
9368.695116714176,0.93,50000,5,50.673,10404,0,0.6462
9368.695116714176,0.94,50000,5,59.146,10989,0,0.6543
9368.695116714176,0.95,50000,5,35.148,9332,0,0.6613
9368.695116714176,0.96,50000,5,56.075,10777,0,0.6221
9368.695116714176,0.97,50000,5,65.909,11456,0,0.6497
9368.695116714176,0.98,50000,5,36.336,9414,0,0.6502
9368.695116714176,0.99,50000,5,49.703,10337,0,0.6172
10764.357373147166,0.6,50000,5,54.193,10647,0,0.7427
10764.357373147166,0.7,50000,5,68.182,11613,0,0.7647
10764.357373147166,0.75,50000,5,42.448,9836,0,0.7822
10764.357373147166,0.8,50000,5,49.095,10295,0,0.6952
10764.357373147166,0.85,50000,5,54.164,10645,0,0.6946
10764.357373147166,0.9,50000,5,57.190,10854,0,0.6628
10764.357373147166,0.91,50000,5,66.647,11507,0,0.6412
10764.357373147166,0.92,50000,5,44.070,9948,0,0.6337
10764.357373147166,0.93,50000,5,63.794,11310,0,0.6490
10764.357373147166,0.94,50000,5,71.919,11871,0,0.6178
10764.357373147166,0.95,50000,5,45.040,10015,0,0.6800
10764.357373147166,0.96,50000,5,49.660,10334,0,0.6731
10764.357373147166,0.97,50000,5,56.901,10834,0,0.6567
